radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.00137489,2179.62,0.225301,0.000429199,0.0217701,0.0217701,0.15645877896748292,1.7279943491406708,99.9570801,0.0
0.00143423,2179.62,0.225307,0.000429356,0.0217638,0.0217638,0.15656131815216093,1.7035953713064982,99.9570644,-4.199564003418345
0.00414131,2179.09,0.225408,0.000431755,0.0216642,0.0216642,0.1581598988192502,-0.49070690475673473,99.9568245,-246.70338259637356
0.00418172,2179.08,0.225407,0.000431723,0.0216654,0.0216654,0.15813941713515559,-0.5218097028659657,99.95682769999999,-253.90151097443413
0.00690234,2177.21,0.225145,0.000425342,0.0219219,0.0219219,0.15397908538949634,-2.562202483901274,99.9574658,-1025.3316724598408
0.0069218,2177.19,0.225141,0.000425264,0.021925,0.021925,0.15392908114025086,-2.575923311213471,99.9574736,-1028.8325905716165
0.00964908,2173.97,0.22452,0.000410229,0.0225325,0.0225325,0.14448362782647287,-4.103480837509778,99.9589771,-1721.836149573326
0.00966068,2173.95,0.224517,0.000410152,0.0225357,0.0225357,0.1444359958643397,-4.108755262636052,99.9589848,-1723.9692160752834
0.0123554,2169.41,0.223593,0.000389215,0.0234415,0.0234415,0.13176674871488597,-4.959592118355658,99.9610785,-1897.9640650711954
0.0124237,2169.28,0.223567,0.000388647,0.0234677,0.0234677,0.13142756179770493,-4.975781649875659,99.96113530000001,-1910.9733255591855
0.0150312,2163.54,0.222394,0.000364537,0.0246225,0.0246225,0.11749276604731446,-5.5389071990914545,99.96354629999999,-2396.006462417543
0.0152138,2163.1,0.222304,0.000362699,0.0247116,0.0247116,0.11647887081370693,-5.568166972918913,99.9637301,-2428.8956105490506
0.0176998,2156.41,0.220937,0.000335274,0.0260581,0.0260581,0.10210776933084147,-5.834051587119461,99.9664726,-2924.5141847645864
0.0180481,2155.38,0.220729,0.000331191,0.0262641,0.0262641,0.10007317121089243,-5.839206115915842,99.96688089999999,-2993.172755325955
0.0203912,2147.8,0.219185,0.000302634,0.0277886,0.0277886,0.08642765105115047,-5.709979166447752,99.9697366,-3497.636917273514
0.0209391,2145.85,0.218787,0.000295875,0.0281834,0.0281834,0.08331372368131595,-5.6318879139096945,99.97041250000001,-3623.5993445515924
0.0230999,2137.47,0.217077,0.000269523,0.0298804,0.0298804,0.07158319594115206,-5.377355215633031,99.9730477,-4192.358619304607
0.0240602,2133.31,0.216216,0.000257331,0.0307366,0.0307366,0.0664412724894751,-5.239165224548,99.9742669,-4397.458145733108
0.0254122,2127.24,0.214968,0.000240065,0.0319778,0.0319778,0.05957745185722595,-4.958983017001058,99.9759935,-4672.0833534097765
0.0271234,2118.85,0.213251,0.000217956,0.0336866,0.0336866,0.051346791187000175,-4.476581197189235,99.97820440000001,-5146.159222966642
0.028875,2109.4,0.211365,0.000197648,0.0355651,0.0355651,0.04410319464868649,-3.8422236563757224,99.9802352,-5717.752787368023
0.0302017,2101.49,0.209802,0.000183841,0.0371234,0.0371234,0.03930033822333083,-3.4150679949403226,99.9816159,-6108.333171450533
0.0319383,2090.55,0.207716,0.000167145,0.0392028,0.0392028,0.03383591784260308,-2.976178882035981,99.9832855,-6322.500100022182
0.0322639,2088.49,0.207326,0.000164021,0.0395918,0.0395918,0.032877279032526935,-2.918096549638652,99.98359789999999,-6345.980279650263
0.0350023,2070.67,0.204037,0.000137685,0.0428698,0.0428698,0.025488062925416024,-2.5436057299192925,99.9862315,-6721.600195011124
0.0377403,2051.68,0.20061,0.000110508,0.0462857,0.0462857,0.018947352810911363,-2.1246587893097484,99.9889492,-7241.048082755879
0.0380646,2049.32,0.200193,0.000107505,0.0467012,0.0467012,0.01826847447174805,-2.05856604539889,99.9892495,-7308.312906734936
