radius,temp,h2,h2o,o2,o2_safe,phi,dphi_dr,eta_local
0.00137489,2435.17,0.00434348,0.248452,0.00103979,0.00103979,33.150787447465355,-42.52394532938387,0.0
0.00143423,2435.17,0.0043434,0.248452,0.00103985,0.00103985,33.14826407654951,-43.47632069879296,0.001841841104376957
0.0041413,2435.31,0.004336,0.248442,0.0010455,0.0010455,32.91295648015303,-141.99859413108788,0.17221214325841674
0.00418172,2435.32,0.00433582,0.248442,0.00104564,0.00104564,32.90718365785548,-143.68762938936177,0.17635628574323994
0.00690233,2435.62,0.00431816,0.248418,0.00105907,0.00105907,32.357556875371785,-272.8753963818308,0.5829427095324613
0.00692179,2435.62,0.00431798,0.248418,0.0010592,0.0010592,32.352236858006044,-273.82382555462465,0.5870868520172845
0.00964908,2436.1,0.00428748,0.248376,0.00108235,0.00108235,31.436634434332703,-401.96483871433884,1.2892887730575597
0.00966066,2436.1,0.00428732,0.248376,0.00108247,0.00108247,31.43197642428889,-402.5493319495662,1.2929724552662936
0.0123554,2436.75,0.00424251,0.248315,0.00111644,0.00111644,30.15707011572498,-537.5737475224887,2.324633703850382
0.0124236,2436.77,0.00424117,0.248314,0.00111745,0.00111745,30.120296317508608,-540.9802554216553,2.3554845423485413
0.0150312,2437.58,0.0041811,0.248232,0.00116292,0.00116292,28.53266742338252,-670.0532350067515,3.738476981590802
0.0152138,2437.65,0.00417623,0.248226,0.0011666,0.0011666,28.40953307046117,-678.6044750833166,3.850599058819192
0.0176998,2438.54,0.00409999,0.248123,0.00122422,0.00122422,26.57816457826208,-787.4365632978006,5.605873631281826
0.0180481,2438.65,0.00408779,0.248106,0.00123342,0.00123342,26.301423229718992,-801.2511402789603,5.886754399697944
0.0203911,2439.18,0.00399468,0.247981,0.00130361,0.00130361,24.318454507099514,-883.9218181451215,8.030427215044172
0.0209391,2439.26,0.00397002,0.247948,0.00132216,0.00132216,23.829248139408243,-899.6961344464107,8.59817473546557
0.0230999,2439.56,0.00386116,0.247801,0.00140395,0.00140395,21.825681655329607,-956.7642454314828,11.104460018234228
0.0240601,2439.71,0.00380575,0.247727,0.00144548,0.00144548,20.894396325096164,-964.4884862877407,12.380165213147066
0.0254122,2439.92,0.00372305,0.247616,0.00150741,0.00150741,19.60058962060753,-964.8376253834904,14.284168454787412
