radius,temp,h2,h2o,o2,,,
0.00137489,2435.17,0.00434348,0.248452,0.00103979,,,
0.00143423,2435.17,0.0043434,0.248452,0.00103985,,,
0.0041413,2435.31,0.004336,0.248442,0.0010455,,,
0.00418172,2435.32,0.00433582,0.248442,0.00104564,,,
0.00690233,2435.62,0.00431816,0.248418,0.00105907,,,
0.00692179,2435.62,0.00431798,0.248418,0.0010592,,,
0.00964908,2436.1,0.00428748,0.248376,0.00108235,,,
0.00966066,2436.1,0.00428732,0.248376,0.00108247,,,
0.0123554,2436.75,0.00424251,0.248315,0.00111644,,,
0.0124236,2436.77,0.00424117,0.248314,0.00111745,,,
0.0150312,2437.58,0.0041811,0.248232,0.00116292,,,
0.0152138,2437.65,0.00417623,0.248226,0.0011666,,,
0.0176998,2438.54,0.00409999,0.248123,0.00122422,,,
0.0180481,2438.65,0.00408779,0.248106,0.00123342,,,
0.0203911,2439.18,0.00399468,0.247981,0.00130361,,,
0.0209391,2439.26,0.00397002,0.247948,0.00132216,,,
0.0230999,2439.56,0.00386116,0.247801,0.00140395,,,
0.0240601,2439.71,0.00380575,0.247727,0.00144548,,,
0.0254122,2439.92,0.00372305,0.247616,0.00150741,,,
0.0271234,2440.21,0.00360511,0.247458,0.00159545,,,
0.028875,2440.54,0.00347061,0.247266,0.00170552,,,
0.0302017,2440.75,0.00336044,0.24707,0.00182548,,,
0.0319382,2440.19,0.00320498,0.246698,0.00206857,,,
0.0322639,2439.96,0.00317473,0.246622,0.00211914,,,
0.0350023,2436.89,0.00289936,0.245903,0.00259657,,,
0.0377403,2433.06,0.00258007,0.245058,0.00316038,,,
0.0380647,2432.46,0.00254061,0.244937,0.00324481,,,
0.0398024,2428.53,0.00232865,0.244193,0.00378255,,,
0.041125,2424.12,0.00216869,0.243409,0.00438588,,,
0.0426492,2417.72,0.00197795,0.242404,0.00516829,,,
0.0443259,2409.02,0.00175533,0.241206,0.00610525,,,
0.046048,2397.99,0.00153017,0.239702,0.00733398,,,
0.0480576,2382.24,0.00128586,0.237424,0.00929783,,,
0.0503005,2361.42,0.00103824,0.234318,0.0120889,,,
0.0520485,2342.18,0.000862436,0.231426,0.0147722,,,
0.0535792,2323.05,0.0007238,0.228538,0.0175159,,,
0.0549675,2303.88,0.000610587,0.225627,0.0203299,,,
0.0562531,2279.44,0.000516652,0.22268,0.023218,,,
0.0574322,2250.5,0.00046122,0.219509,0.0263611,,,
0.0585559,2221.61,0.000472171,0.215633,0.030229,,,
0.0598454,2187.71,0.000527667,0.210494,0.0353703,,,
0.0598516,2187.54,0.000527954,0.210468,0.0353964,,,
0.0617363,2136,0.000608852,0.202737,0.0431184,,,
0.063245,2092.97,0.000662893,0.19644,0.0493871,,,
0.0645327,2057.11,0.00069736,0.191015,0.0547562,,,
0.0656194,2033.98,0.00072414,0.186318,0.059373,,,
0.0665,2022.9,0.00074227,0.182453,0.0631516,,,
0.0679395,2012.35,0.000737459,0.176406,0.0690581,,,
0.0690927,1996.87,0.000631574,0.172822,0.0726301,,,
0.0702194,1966.5,0.000412915,0.170776,0.0747913,,,
0.0715107,1925.6,1.49E-04,0.168435,0.0772566,,,
0.0720703,1907.64,7.39E-05,0.166863,0.0788282,,,
0.0735,1859.43,1.52E-05,0.16084,0.0846752,,,
0.0744563,1825.38,1.07E-05,0.156237,0.0891087,,,
0.0757083,1778.96,6.38E-06,0.150037,0.0950334,,,
0.0772362,1719.75,5.83E-06,0.142169,0.102467,,,
0.0790544,1642.98,3.05E-05,0.132094,0.111869,,,
0.0812173,1543.94,6.87E-05,0.119594,0.123422,,,
0.0838325,1420.04,8.48E-05,0.104587,0.137218,,,
0.0870624,1266.73,6.66E-05,0.0865923,0.153733,,,
0.0910459,1078.14,2.26E-05,0.0656057,0.172991,,,
0.0955213,879.122,8.94E-12,0.0440192,0.192759,,,
0.100134,718.104,9.43E-13,0.0259164,0.209308,,,
0.105,636.075,4.92E-17,0.0135354,0.220626,,,
0.110529,678.381,8.28E-17,0.00641563,0.227135,,,
0.116357,943.562,2.05E-11,0.00313454,0.230134,,,
0.1225,2034.4,4.11E-11,0.00207964,0.231098,,,
